Date,returns,logs,Consumer Price Index,Long Interest Rate
2007-03-01,-0.02619739756367656,7.249179519880248,205.35,4.56
2007-04-01,0.04029283201250933,7.288681762643147,206.69,4.69
2007-05-01,0.03245333551966323,7.320619611852243,207.95,4.75
2007-06-01,0.00201834376695742,7.3226359214999945,208.35,5.1
2007-07-01,0.004305932544792945,7.326932610043777,208.3,5.0
2007-08-01,-0.043459962780543426,7.282499977110311,207.92,4.67
2007-09-01,0.029217252615803435,7.311298541527603,208.49,4.52
2007-10-01,0.02841455594741915,7.339316891811576,208.94,4.53
2007-11-01,-0.04953691074652844,7.2885109410249145,210.18,4.15
2007-12-01,0.010817348758703993,7.2992702008035755,210.04,4.1
2008-01-01,-0.06791417098200403,7.228939823487919,211.08,3.74
2008-02-01,-0.01732716353825181,7.211460787751763,211.69,3.74
2008-03-01,-0.027995305822698713,7.1830661426189195,213.53,3.51
2008-04-01,0.040647258037571854,7.222909025682021,214.82,3.68
2008-05-01,0.023896911278612487,7.246524874652033,216.63,3.88
2008-06-01,-0.04416271147788664,7.201357293944908,218.81,4.1
2008-07-01,-0.06256849953401677,7.1367457039682565,219.96,4.01
2008-08-01,0.019199414632594447,7.155763135463777,219.09,3.89
2008-09-01,-0.050348427977244814,7.104103007509184,218.78,3.69
2008-10-01,-0.20391141788898481,6.876058192238882,216.57,3.81
2008-11-01,-0.08852188274153594,6.783370499691191,212.43,3.53
2008-12-01,-0.006205834390288101,6.77714532907086,210.23,2.42
2009-01-01,-0.013651488217329755,6.763399802464841,211.14,2.52
2009-02-01,-0.06972203609140692,6.691127950895724,212.19,2.87
2009-03-01,-0.059734485799088466,6.629534969208644,212.71,2.82
2009-04-01,0.12021713576268267,6.743057506941732,213.24,2.93
2009-05-01,0.06397453280669696,6.805068962242678,213.86,3.29
2009-06-01,0.02627408827473099,6.8310038158829975,215.69,3.72
2009-07-01,0.010473804690536825,6.8414231502917895,215.35,3.56
2009-08-01,0.07897886345664751,6.917438247364472,215.83,3.59
2009-09-01,0.034484466144414805,6.951341449645058,215.97,3.4
2009-10-01,0.02212435977215077,6.973224616775441,216.18,3.39
2009-11-01,0.019116572691680656,6.992160763581566,216.33,3.4
2009-12-01,0.020504195502127676,7.0124575780629534,215.95,3.59
2010-01-01,0.011887822186998909,7.024275295142868,216.69,3.73
2010-02-01,-0.0306342227522739,6.993162035924006,216.74,3.69
2010-03-01,0.05774174593264525,7.049298243091741,217.63,3.73
2010-04-01,0.03929516948049128,7.087841004834515,218.01,3.85
2010-05-01,-0.06035145157518462,7.025591646549682,218.18,3.42
2010-06-01,-0.037064689883206325,6.987822601737335,217.97,3.2
2010-07-01,-0.003286072958204045,6.9845311177841864,218.01,3.01
2010-08-01,0.006927208742359747,6.991434443647091,218.31,2.7
2010-09-01,0.03200647487307773,7.0229393847886,218.44,2.65
2010-10-01,0.044114501639811676,7.066108544135289,218.71,2.54
2010-11-01,0.023310401338363818,7.089151407699591,218.8,2.76
2010-12-01,0.0355662320980239,7.124099768973627,219.18,3.29
2011-01-01,0.033096260259518395,7.156660139919245,220.22,3.39
2011-02-01,0.030016684598711985,7.186235140669118,221.31,3.58
2011-03-01,-0.012587804287271354,7.173567438775074,223.47,3.41
2011-04-01,0.02071307560809199,7.194068915552484,224.91,3.46
2011-05-01,0.00510698380034702,7.199162902940593,225.96,3.17
2011-06-01,-0.03812270699613696,7.160294512438415,225.72,3.0
2011-07-01,0.029441695344483376,7.189311124366482,225.92,3.0
2011-08-01,-0.10555467517865369,7.077759622732563,226.54,2.3
2011-09-01,-0.00964304696661622,7.068069780513002,226.89,1.98
2011-10-01,0.02840154019150165,7.096075474579492,226.42,2.15
2011-11-01,0.01590430907373963,7.111854635317653,226.23,2.01
2011-12-01,0.013779944880220274,7.1255405000516605,225.67,1.98
2012-01-01,0.046054113180838296,7.170565597798747,226.66,1.97
2012-02-01,0.03991296190930216,7.209702616977961,227.66,1.97
2012-03-01,0.0271721047845086,7.236512114005637,229.39,2.17
2012-04-01,-0.0020226886643056607,7.234487376943969,230.09,2.05
2012-05-01,-0.03257286700374351,7.201372205296921,229.81,1.8
2012-06-01,-0.013263548726207275,7.188019910106056,229.48,1.62
2012-07-01,0.027427690633783586,7.215078200938894,229.1,1.53
2012-08-01,0.03211548927032326,7.2466887699446865,230.38,1.68
2012-09-01,0.028479817592361734,7.274770576715102,231.41,1.72
2012-10-01,-0.0038796746615678,7.270883356593519,231.32,1.75
2012-11-01,-0.030121990235217222,7.240298378070874,230.22,1.65
2012-12-01,0.019920975826634324,7.260023527685966,229.6,1.72
2013-01-01,0.040856646675431874,7.300067600512001,230.28,1.91
2013-02-01,0.02155498513915144,7.321393562179454,232.17,1.98
2013-03-01,0.02547096825386319,7.346545550463934,232.77,1.96
2013-04-01,0.012812493954849957,7.359276658848986,232.53,1.76
2013-05-01,0.04401859043738443,7.402353955083253,232.94,1.93
2013-06-01,-0.012848814518489515,7.389421880583878,233.5,2.3
2013-07-01,0.030832051495888857,7.419788173703193,233.6,2.58
2013-08-01,0.000844979265047785,7.420632796174236,233.88,2.74
2013-09-01,0.010226993754827607,7.430807848067649,234.15,2.81
2013-10-01,0.01947640131107109,7.450097011515856,233.55,2.62
2013-11-01,0.03692377458532703,7.486355432357931,233.07,2.72
2013-12-01,0.013590948338697117,7.499854852132408,233.05,2.9
2014-01-01,0.00806514066977182,7.507887643373895,233.92,2.86
2014-02-01,-0.00291929146820602,7.504964082463161,234.78,2.71
2014-03-01,0.025580064280368076,7.530222451354342,236.29,2.72
2014-04-01,0.0003970979651413131,7.530619470496952,237.07,2.71
2014-05-01,0.013683713645092466,7.544210407526786,237.9,2.56
2014-06-01,0.0303317334913773,7.574091229265338,238.34,2.6
2014-07-01,0.013358396376130566,7.587361188975415,238.25,2.54
2014-08-01,-0.005863869038568725,7.581480059950186,237.85,2.42
2014-09-01,0.016160854027213567,7.597511717467973,238.03,2.53
2014-10-01,-0.028075033990056397,7.569035044503531,237.43,2.3
2014-11-01,0.05538722016032871,7.622942777418632,236.15,2.33
2014-12-01,0.0047442738570946386,7.627675832677254,234.81,2.21
2015-01-01,-0.01270037531580559,7.614894118168819,233.71,1.88
2015-02-01,0.026634716839728068,7.641180306040653,234.72,1.98
2015-03-01,-0.001061377389299789,7.6401183649914985,236.12,2.04
2015-04-01,0.007149072832081105,7.64724200434764,236.6,1.94
2015-05-01,0.008153289479965187,7.6553622353316975,237.81,2.2
2015-06-01,-0.005989753496784989,7.649354471306339,238.64,2.36
2015-07-01,-0.002453210371125558,7.64689824688424,238.65,2.32
2015-08-01,-0.025915172815571097,7.620641359317511,238.32,2.17
2015-09-01,-0.04679709981518421,7.572713868132772,237.94,2.17
2015-10-01,0.04134930390195479,7.6132311479781025,237.84,2.07
2015-11-01,0.027563079992690698,7.64042120520234,237.34,2.26
2015-12-01,-0.012755813171073993,7.627583338123413,236.53,2.24
2016-01-01,-0.06595653528587009,7.559351032383847,236.92,2.09
2016-02-01,-0.007390805795892796,7.551932779260597,237.11,1.78
2016-03-01,0.061714327721825946,7.611817671282588,238.13,1.89
2016-04-01,0.026504117312495357,7.637976639771848,239.26,1.81
2016-05-01,-0.004813205238154761,7.633151813757579,240.23,1.81
2016-06-01,0.00887899106775425,7.641991618370775,241.02,1.64
2016-07-01,0.03119646430473777,7.672711362288515,240.63,1.5
2016-08-01,0.010261063800083736,7.682920138751723,240.85,1.56
2016-09-01,-0.006107925101913825,7.676793483970017,241.43,1.63
2016-10-01,-0.006798937752874656,7.66997132814118,241.73,1.76
2016-11-01,0.010251887523214709,7.680171021488278,241.35,2.14
2016-12-01,0.037709181104762735,7.717186594630285,241.43,2.49
2017-01-01,0.012681215865540718,7.7297880772467105,242.84,2.43
2017-02-01,0.02408224621118893,7.753584919204277,243.6,2.42
2017-03-01,0.015841813632286428,7.769302560994992,243.8,2.48
2017-04-01,-0.003173033859778185,7.766124482389016,244.52,2.3
2017-05-01,0.01527565262725128,7.781284636954986,244.73,2.3
2017-06-01,0.016131254305216336,7.797287165075598,244.96,2.19
2017-07-01,0.00826215391188967,7.805515374236857,244.79,2.32
2017-08-01,0.0008638604783830495,7.806378861802525,245.52,2.21
2017-09-01,0.014909087948148159,7.821177901760784,246.82,2.2
2017-10-01,0.025737712809486224,7.846589975291186,246.66,2.36
2017-11-01,0.014317559640203426,7.860806006618643,246.67,2.35
2017-12-01,0.027270869560188205,7.887711651144195,246.52,2.4
2018-01-01,0.04708858479022959,7.933725187658135,247.87,2.58
2018-02-01,-0.030339092408057988,7.902916339254042,248.99,2.86
2018-03-01,-0.0008834967247778325,7.902032452016004,249.55,2.84
2018-04-01,-0.022414041890356895,7.8793633977122415,249.84,2.8
